id,code,related_country_code,visa_requirements
767,SM,JP,visa_free_access
768,SM,AL,visa_free_access
769,SM,AD,visa_free_access
770,SM,AI,visa_free_access
771,SM,AG,visa_free_access
772,SM,AR,visa_free_access
773,SM,AM,visa_free_access
774,SM,AW,visa_free_access
775,SM,AT,visa_free_access
776,SM,BS,visa_free_access
777,SM,BB,visa_free_access
778,SM,BY,visa_free_access
779,SM,BE,visa_free_access
780,SM,BM,visa_free_access
781,SM,BQ,visa_free_access
782,SM,BA,visa_free_access
783,SM,BW,visa_free_access
784,SM,BR,visa_free_access
785,SM,BG,visa_free_access
786,SM,KY,visa_free_access
787,SM,CL,visa_free_access
788,SM,CN,visa_free_access
789,SM,CO,visa_free_access
790,SM,CK,visa_free_access
791,SM,CR,visa_free_access
792,SM,HR,visa_free_access
793,SM,CW,visa_free_access
794,SM,CY,visa_free_access
795,SM,CZ,visa_free_access
796,SM,DK,visa_free_access
797,SM,DM,visa_free_access
798,SM,DO,visa_free_access
799,SM,EC,visa_free_access
800,SM,SV,visa_free_access
801,SM,EE,visa_free_access
802,SM,FK,visa_free_access
803,SM,FO,visa_free_access
804,SM,FI,visa_free_access
805,SM,FR,visa_free_access
806,SM,GF,visa_free_access
807,SM,PF,visa_free_access
808,SM,FW,visa_free_access
809,SM,GM,visa_free_access
810,SM,GE,visa_free_access
811,SM,DE,visa_free_access
812,SM,GI,visa_free_access
813,SM,GR,visa_free_access
814,SM,GL,visa_free_access
815,SM,GD,visa_free_access
816,SM,GT,visa_free_access
817,SM,HT,visa_free_access
818,SM,HN,visa_free_access
819,SM,HK,visa_free_access
820,SM,HU,visa_free_access
821,SM,IS,visa_free_access
822,SM,IE,visa_free_access
823,SM,IT,visa_free_access
824,SM,JM,visa_free_access
825,SM,KE,visa_free_access
826,SM,XK,visa_free_access
827,SM,LV,visa_free_access
828,SM,LS,visa_free_access
829,SM,LI,visa_free_access
830,SM,LT,visa_free_access
831,SM,LU,visa_free_access
832,SM,MO,visa_free_access
833,SM,MK,visa_free_access
834,SM,MY,visa_free_access
835,SM,MT,visa_free_access
836,SM,MU,visa_free_access
837,SM,YT,visa_free_access
838,SM,MX,visa_free_access
839,SM,FM,visa_free_access
840,SM,MD,visa_free_access
841,SM,MC,visa_free_access
842,SM,ME,visa_free_access
843,SM,MS,visa_free_access
844,SM,MA,visa_free_access
845,SM,NL,visa_free_access
846,SM,NC,visa_free_access
847,SM,NI,visa_free_access
848,SM,NU,visa_free_access
849,SM,NO,visa_free_access
850,SM,OM,visa_free_access
851,SM,PS,visa_free_access
852,SM,PA,visa_free_access
853,SM,PE,visa_free_access
854,SM,PH,visa_free_access
855,SM,PL,visa_free_access
856,SM,PT,visa_free_access
857,SM,RE,visa_free_access
858,SM,RO,visa_free_access
859,SM,ST,visa_free_access
860,SM,SN,visa_free_access
861,SM,RS,visa_free_access
862,SM,SG,visa_free_access
863,SM,SK,visa_free_access
864,SM,SI,visa_free_access
865,SM,ZA,visa_free_access
866,SM,ES,visa_free_access
867,SM,LC,visa_free_access
868,SM,MF,visa_free_access
869,SM,VC,visa_free_access
870,SM,SZ,visa_free_access
871,SM,SE,visa_free_access
872,SM,CH,visa_free_access
873,SM,TW,visa_free_access
874,SM,TH,visa_free_access
875,SM,TN,visa_free_access
876,SM,TR,visa_free_access
877,SM,UA,visa_free_access
878,SM,UY,visa_free_access
879,SM,UZ,visa_free_access
880,SM,VU,visa_free_access
881,SM,VA,visa_free_access
882,SM,VE,visa_free_access
883,SM,VG,visa_free_access
884,SM,SR,visa_free_access
885,SM,BZ,visa_free_access
886,SM,MG,visa_free_access
887,SM,TJ,visa_free_access
888,SM,ZM,visa_free_access
889,SM,AU,electronic_travel_authorisation
890,SM,CA,electronic_travel_authorisation
891,SM,GU,electronic_travel_authorisation
892,SM,NZ,electronic_travel_authorisation
893,SM,MP,electronic_travel_authorisation
894,SM,PR,electronic_travel_authorisation
895,SM,AS,electronic_travel_authorisation
896,SM,LK,electronic_travel_authorisation
897,SM,US,electronic_travel_authorisation
898,SM,VI,electronic_travel_authorisation
899,SM,KR,electronic_travel_authorisation
900,SM,SC,electronic_travel_authorisation
901,SM,IL,electronic_travel_authorisation
902,SM,GB,electronic_travel_authorisation
903,SM,KN,electronic_travel_authorisation
904,MC,AF,visa_required
905,MC,DZ,visa_required
906,MC,BT,visa_required
907,MC,BN,visa_required
908,MC,CF,visa_required
909,MC,TD,visa_required
910,MC,CG,visa_required
911,MC,CI,visa_required
912,MC,ER,visa_required
913,MC,FK,visa_required
914,MC,GH,visa_required
915,MC,GY,visa_required
916,MC,IQ,visa_required
917,MC,KI,visa_required
918,MC,LY,visa_required
919,MC,ML,visa_required
920,MC,NA,visa_required
921,MC,NR,visa_required
922,MC,NE,visa_required
923,MC,KP,visa_required
924,MC,SL,visa_required
925,MC,SS,visa_required
926,MC,SD,visa_required
927,MC,TT,visa_required
928,MC,TM,visa_required
929,MC,YE,visa_required
930,MC,LS,visa_required
931,MC,AZ,visa_online
932,MC,BJ,visa_online
933,MC,EG,visa_online
934,MC,GA,visa_online
935,MC,IN,visa_online
936,MC,MM,visa_online
937,MC,RU,visa_online
938,MC,VN,visa_online
939,MC,UG,visa_online
940,MC,PG,visa_online
941,MC,GN,visa_online
942,MC,CM,visa_online
943,MC,GQ,visa_online
